0000UNIQUECOUNT     	12593
DAI62779            	6667	1.751%
FRO40251            	3881	1.019%
ELE17451            	3875	1.018%
GRO73461            	3602	0.946%
SNA80324            	3044	0.799%
ELE32164            	2851	0.749%
DAI75645            	2736	0.718%
SNA45677            	2455	0.645%
FRO31317            	2330	0.612%
DAI85309            	2293	0.602%
ELE26917            	2292	0.602%
FRO80039            	2233	0.586%
GRO21487            	2115	0.555%
SNA99873            	2083	0.547%
GRO59710            	2004	0.526%
GRO71621            	1920	0.504%
FRO85978            	1918	0.504%
GRO30386            	1840	0.483%
ELE74009            	1816	0.477%
GRO56726            	1784	0.468%
DAI63921            	1773	0.466%
GRO46854            	1756	0.461%
ELE66600            	1713	0.45%
DAI83733            	1712	0.45%
FRO32293            	1702	0.447%
ELE66810            	1697	0.446%
SNA55762            	1646	0.432%
DAI22177            	1627	0.427%
FRO78087            	1531	0.402%
ELE99737            	1516	0.398%
ELE34057            	1489	0.391%
GRO94758            	1489	0.391%
FRO35904            	1436	0.377%
FRO53271            	1420	0.373%
SNA93860            	1407	0.369%
SNA90094            	1390	0.365%
GRO38814            	1352	0.355%
ELE56788            	1345	0.353%
GRO61133            	1321	0.347%
DAI88807            	1316	0.346%
ELE74482            	1316	0.346%
ELE59935            	1311	0.344%
SNA96271            	1295	0.34%
DAI43223            	1290	0.339%
ELE91337            	1289	0.338%
GRO15017            	1275	0.335%
DAI31081            	1261	0.331%
GRO81087            	1220	0.32%
DAI22896            	1219	0.32%
GRO85051            	1214	0.319%
ELE92920            	1197	0.314%
GRO44993            	1193	0.313%
ELE14480            	1147	0.301%
DAI91290            	1138	0.299%
SNA55952            	1094	0.287%
SNA72163            	1090	0.286%
DAI35347            	1060	0.278%
GRO64900            	1046	0.275%
SNA62128            	1023	0.269%
DAI42493            	1001	0.263%
DAI55148            	975	0.256%
DAI55911            	974	0.256%
GRO24246            	944	0.248%
DAI92600            	935	0.246%
FRO16142            	931	0.244%
FRO66272            	927	0.243%
FRO92261            	915	0.24%
GRO99222            	906	0.238%
SNA59903            	891	0.234%
GRO69543            	882	0.232%
DAI95741            	878	0.231%
SNA88283            	865	0.227%
DAI87448            	858	0.225%
GRO32086            	856	0.225%
GRO88511            	855	0.225%
GRO35122            	852	0.224%
SNA40784            	850	0.223%
FRO92469            	849	0.223%
GRO38983            	839	0.22%
ELE53126            	837	0.22%
ELE12792            	832	0.218%
GRO36567            	832	0.218%
DAI83948            	830	0.218%
DAI48891            	825	0.217%
ELE20847            	818	0.215%
ELE11111            	811	0.213%
SNA38068            	811	0.213%
SNA95666            	804	0.211%
ELE37048            	802	0.211%
DAI38969            	785	0.206%
SNA20554            	777	0.204%
FRO19221            	773	0.203%
FRO99783            	764	0.201%
FRO75586            	762	0.2%
FRO79022            	751	0.197%
ELE86561            	735	0.193%
FRO73056            	728	0.191%
ELE62598            	717	0.188%
GRO88324            	715	0.188%
SNA18336            	709	0.186%
DAI59508            	707	0.186%
SNA66979            	703	0.185%
ELE68605            	697	0.183%
SNA47306            	695	0.182%
ELE20398            	690	0.181%
ELE59028            	673	0.177%
DAI49199            	664	0.174%
FRO98729            	664	0.174%
ELE49801            	663	0.174%
ELE87456            	655	0.172%
GRO56989            	655	0.172%
GRO68067            	651	0.171%
ELE37770            	630	0.165%
SNA59061            	622	0.163%
GRO50832            	608	0.16%
SNA69641            	599	0.157%
DAI22240            	597	0.157%
SNA82528            	594	0.156%
SNA50789            	588	0.154%
FRO43226            	583	0.153%
GRO18367            	581	0.153%
SNA53220            	580	0.152%
FRO78994            	569	0.149%
DAI73122            	566	0.149%
ELE12845            	562	0.148%
ELE78169            	558	0.147%
SNA90258            	550	0.144%
ELE20196            	545	0.143%
GRO83463            	544	0.143%
SNA71332            	541	0.142%
ELE37798            	534	0.14%
SNA58341            	525	0.138%
SNA12663            	523	0.137%
DAI42083            	522	0.137%
FRO24098            	521	0.137%
GRO88505            	521	0.137%
ELE38289            	517	0.136%
FRO89565            	516	0.135%
SNA96466            	506	0.133%
FRO99372            	505	0.133%
SNA24799            	504	0.132%
GRO76157            	494	0.13%
GRO81647            	490	0.129%
SNA42528            	489	0.128%
SNA49107            	484	0.127%
FRO98184            	480	0.126%
ELE85027            	478	0.126%
ELE25077            	478	0.126%
GRO94173            	474	0.124%
FRO81176            	469	0.123%
GRO82670            	459	0.121%
DAI88352            	456	0.12%
SNA30755            	456	0.12%
DAI88079            	452	0.119%
FRO61354            	450	0.118%
DAI50913            	448	0.118%
DAI29159            	442	0.116%
ELE95803            	441	0.116%
GRO61273            	439	0.115%
DAI33336            	438	0.115%
FRO35729            	438	0.115%
SNA44190            	437	0.115%
FRO21081            	436	0.114%
SNA43319            	432	0.113%
ELE21353            	430	0.113%
DAI70456            	427	0.112%
GRO57755            	427	0.112%
ELE35632            	426	0.112%
DAI48126            	417	0.109%
FRO41069            	409	0.107%
FRO41939            	408	0.107%
ELE49863            	406	0.107%
DAI54444            	401	0.105%
GRO95519            	400	0.105%
ELE49861            	397	0.104%
ELE88263            	397	0.104%
DAI88088            	394	0.103%
FRO18565            	394	0.103%
FRO19671            	391	0.103%
FRO94523            	390	0.102%
SNA55617            	389	0.102%
ELE66741            	387	0.102%
GRO12298            	385	0.101%
SNA57865            	385	0.101%
DAI67621            	384	0.101%
SNA29014            	384	0.101%
ELE52966            	380	0.1%
SNA83730            	379	0.1%
DAI74083            	376	0.099%
DAI51880            	375	0.098%
FRO14171            	369	0.097%
ELE60381            	368	0.097%
ELE20347            	366	0.096%
DAI84001            	363	0.095%
ELE28189            	361	0.095%
GRO67739            	360	0.095%
SNA40408            	354	0.093%
FRO38366            	353	0.093%
SNA64534            	351	0.092%
DAI50921            	350	0.092%
DAI59609            	350	0.092%
SNA85662            	349	0.092%
GRO33815            	346	0.091%
SNA68538            	344	0.09%
ELE32244            	342	0.09%
ELE69750            	342	0.09%
FRO64631            	341	0.09%
FRO71085            	337	0.088%
ELE92629            	336	0.088%
SNA85241            	335	0.088%
